OID_,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
,23,009,966500,2,230099665002,Block Group 2,G5030,S,70794788.000000000000000,10552461.000000000000000,+44.3468802,-068.6343652,0.486193589822000,0.009179716110240,15000US230099665002,77,15000US230099665002,1069,208,222,47.299999999999997,36500.000000000000000,0.207253886010363,0.363515312432070,0.223701730727428,0.030625832182922,36500.000000000000000,0.401673639327043,0.072356215079116,0.615296802950574,0.127999999744000,0.059999999880000,0.105999999788000,0.205799812716745,0.205020920073178
,23,009,966400,2,230099664002,Block Group 2,G5030,S,20140012.000000000000000,31684539.000000000000000,+44.4090064,-068.8155328,0.343125554675000,0.005855143416590,15000US230099664002,395,15000US230099664002,1503,153,227,21.300000000000001,41563.000000000000000,0.134387351778656,0.483375958461156,0.388746802571935,0.000000000000000,41563.000000000000000,0.344059405088962,0.067164179004233,0.484104045892988,0.047999999923200,0.119999999808000,0.092799999851520,0.223121387025293,0.032178217742133
,23,009,966500,3,230099665003,Block Group 3,G5030,S,79734079.000000000000000,51773778.000000000000000,+44.3500242,-068.7664772,0.600572972253000,0.014843618285300,15000US230099665003,579,15000US230099665003,916,153,294,50.299999999999997,56875.000000000000000,0.174157303370787,0.542299348652604,0.472885032025070,0.004338394789221,56875.000000000000000,0.464454975202713,0.050691244122831,0.563636362904368,0.104368931785512,0.041262135822179,0.111650485165897,0.074235807779219,0.101895734355697
,23,009,966400,1,230099664001,Block Group 1,G5030,S,103323508.000000000000000,17940397.000000000000000,+44.4827026,-068.7059970,0.582628335536000,0.013715768864600,15000US230099664001,806,15000US230099664001,1144,148,321,53.299999999999997,38750.000000000000000,0.243436754176611,0.354271356338855,0.237437185631360,0.017587939676397,38750.000000000000000,0.404669259913095,0.045226130577511,0.585294117073241,0.029824561351185,0.040350877122191,0.103508771748230,0.198501872473313,0.110894941418492
,23,027,044000,1,230270440001,Block Group 1,G5030,S,37009083.000000000000000,141391358.000000000000000,+44.2988796,-068.9152501,0.658393200948000,0.020118110457900,15000US230270440001,1024,15000US230270440001,598,59,182,58.500000000000000,56184.000000000000000,0.104247104247104,0.625157231918041,0.579874213107076,0.010062893069103,56184.000000000000000,0.486577179575244,0.066889631883312,0.546617914905634,0.057347670045349,0.050179211289680,0.078853046312355,0.073578595194685,0.036912751553984
