OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
1,15000US230110104002,1233.0,198.0,398.0,53.7,23333.0,0.2937853107344633,0.14057142841077552,0.0,0.027428571397224488,23333.0,0.503989361031929,0.0,0.364251207377535,0.029177718755496768,0.0,0.07957559660590027,0.41610738220125215,0.47207446745734777
2,15000US230299561002,1103.0,161.0,243.0,48.1,53000.0,0.3769968051118211,0.3478991590791611,0.2773109239036791,0.015126050394746134,53000.0,0.4046391742148475,0.03501094084242683,0.4820675100400132,0.31519274304944955,0.020408163219029107,0.0725623581121035,0.07508161036443786,0.19072164899298544
3,15000US230299561001,1544.0,388.0,204.0,38.6,40917.0,0.4543524416135881,0.297202796856407,0.21678321653055568,0.011655011641427725,40917.0,0.34991708068007116,0.02510460247544686,0.5970024974213134,0.06723891263628196,0.1459227465723566,0.10872675234803039,0.20265780717431373,0.21061359832402388
4,15000US230099660002,993.0,140.0,379.0,57.2,56607.0,0.026525198938992044,0.5901639339424886,0.5590163929844127,0.0,56607.0,0.515999998968,0.028634361170408896,0.5106861636550212,0.029478457983042047,0.16326530575223286,0.07482993180310674,0.06350806445210881,0.03999999992
5,15000US230099655031,974.0,330.0,92.0,29.5,34091.0,0.18433179723502305,0.08163265285297792,0.0,0.0,34091.0,0.3333333324074074,0.042194092737987146,0.6939970707262122,0.0,0.08590308351122669,0.21145374402763492,0.15297741257394515,0.33888888794753086
6,15000US230099655032,1417.0,259.0,166.0,45.4,53636.0,0.24285714285714285,0.14670255700309212,0.02288021531240886,0.0,53636.0,0.15930599343958046,0.014858840988322674,0.5771869634844022,0.03016591247335458,0.027149321226019124,0.20060331794780797,0.20257966600714744,0.17192428994964623
7,15000US230099655042,2565.0,507.0,549.0,43.0,59345.0,0.14097968936678615,0.20403587428696868,0.1091180866150089,0.014947683097946423,59345.0,0.37370891983689297,0.07409925215900798,0.6922352937918893,0.008810572680755819,0.10866372972932177,0.1718061672747385,0.09719999996112,0.1408450702902863
8,15000US230099655033,883.0,107.0,351.0,56.5,25186.0,0.056179775280898875,0.08630393980055547,0.03377110687847822,0.0,25186.0,0.6386036947872614,0.13223140459440386,0.4503722078779501,0.0,0.14603174556815318,0.21904761835222977,0.22904368331872058,0.2587268988527168
9,15000US230099661002,661.0,126.0,140.0,46.3,63571.0,0.09569377990430622,0.6696315112202903,0.613722997949526,0.0012706480288810064,63571.0,0.40384615229289944,0.07444168716019432,0.7170818492578614,0.11260053589115138,0.045576407384513656,0.03485254682345162,0.06554878038788296,0.04999999980769231
10,15000US230159762001,1177.0,120.0,458.0,58.5,41705.0,0.17333333333333334,0.38398357250104354,0.2689938395595546,0.0,41705.0,0.5633333323944445,0.029850746212965025,0.49770009153845435,0.007692307677514793,0.17499999966346155,0.18653846117973372,0.09163701059462899,0.12499999979166666
11,15000US230139711001,457.0,77.0,115.0,58.1,63438.0,0.125,0.7015341691749872,0.6220362613360721,0.01255230123772343,63438.0,0.42523364287274,0.041474654186752745,0.5592783490740248,0.26923076793639056,0.01923076913831361,0.13942307625277367,0.17505470421213412,0.15420560675604858
12,15000US230139711002,719.0,156.0,130.0,41.3,48125.0,0.07633587786259542,0.531202434503497,0.48097412407766493,0.0,48125.0,0.37662337540057345,0.010362694273671777,0.6433333322611111,0.3691099466777227,0.05497382184561827,0.08900523536909624,0.0729312761950473,0.08766233737771968
13,15000US230139708001,531.0,109.0,130.0,46.2,48167.0,0.1952662721893491,0.5756302508915331,0.4873949569592543,0.0,48167.0,0.5198019776247427,0.1446808504481666,0.5396825384587698,0.19900497413430362,0.12437810883393975,0.09950248706715181,0.0677966100418143,0.11386138557494364
14,15000US230139705001,1380.0,365.0,245.0,43.7,66111.0,0.12315270935960591,0.2406576976970737,0.17040358718923232,0.0,66111.0,0.3917322826934404,0.03333333328888889,0.6880733938641528,0.0,0.11862068949155767,0.13379310326373364,0.0443636363313719,0.03937007866265733
15,15000US230139706004,676.0,86.0,174.0,46.0,41439.0,0.07692307692307693,0.022388059645800845,0.022388059645800845,0.0,41439.0,0.4910941463330938,0.06397306375766645,0.5728813549612181,0.0,0.1402877692795404,0.0,0.18639053226865307,0.27226463035047166
16,15000US230139710001,581.0,141.0,127.0,49.2,53696.0,0.09950248756218906,0.5620155027867917,0.47480620063022055,0.0,53696.0,0.4513274316312946,0.12624584675665831,0.6404255305522861,0.13688212875710218,0.04942965760673134,0.14068441011146612,0.15662650575451548,0.09292035357114888
17,15000US230159756005,40.0,5.0,9.0,28.7,,0.0,0.8305084675380638,0.7372881293450159,0.016949152398735998,,0.04999999750000012,0.0,0.7999999771428579,0.10714285331632667,0.24999999107142887,0.21428570663265334,0.09999999750000006,0.0
18,15000US230159762003,593.0,70.0,286.0,64.5,58365.0,0.08300395256916997,0.6869479875496094,0.6447497540287048,0.0,58365.0,0.6677115966529417,0.028112449686295383,0.4654205598777186,0.049586776654600095,0.19421487523051706,0.05785123943036678,0.08768971317421634,0.07836990571043917
