OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_poverty
1,15000US230039518004,749,125,108,47.3,72438.0,0.30120481927710846,0.15269461032127363,0.0,72438.0,0.31802120028967773,0.02546296290402092,0.6708074523745226,0.07209612807463801
2,15000US230039523003,1205,368,161,35.9,33462.0,0.5907859078590786,0.0490405116225149,0.01918976541750583,33462.0,0.37219730858251726,0.10598290580173862,0.6747404836508184,0.1981681930073537
3,15000US230039526003,1301,230,260,48.3,40000.0,0.4721030042918455,0.372328458523815,0.3363329580018752,40000.0,0.3817204294234401,0.05346820801521935,0.6262443433246657,0.1698693311530597
4,15000US230039521003,1379,250,334,46.9,34470.0,0.5012658227848101,0.06172839495285998,0.015873015845021137,34470.0,0.40789473607538584,0.09467455607296664,0.5842696624163615,0.1302681991338941
5,15000US230039518001,1626,453,156,29.3,29063.0,0.6348547717842323,0.1026722924013048,0.002812939517843967,29063.0,0.20376175516651762,0.043478260819818926,0.7369308594123685,0.33148831467928147
6,15000US230039518002,568,96,120,50.7,32826.0,0.615,0.10914454245090105,0.0,32826.0,0.46357615740537694,0.11678832074164847,0.5672877835045802,0.17781690109539278
7,15000US230039519001,1199,226,192,44.9,52852.0,0.29916897506925205,0.13230240527095807,0.030927834998405783,52852.0,0.33465346468385454,0.031620553318022986,0.7433888337479052,0.04587155959476934
8,15000US230039519002,1484,143,515,54.6,26150.0,0.2216867469879518,0.04041570434132136,0.006928406458512232,26150.0,0.48134777318730715,0.05189340806186058,0.5170413339252782,0.15232722133122198
9,15000US230039520002,1320,276,111,29.9,42332.0,0.4511784511784512,0.23143350564519258,0.09844559568489535,42332.0,0.2202247186062366,0.030254777021887298,0.6015325664736277,0.12983425402409368
10,15000US230039520001,1800,354,207,36.1,31791.0,0.6613756613756614,0.07869742187422331,0.06377204876014647,31791.0,0.38438880650310925,0.05507559389300692,0.618157542978533,0.33139909714287613
11,15000US230039504001,749,103,151,52.4,36797.0,0.5121951219512195,0.2371794866726934,0.1666666663105413,36797.0,0.37535013900462144,0.050802138901598556,0.5762711855527408,0.1713520747371458
12,15000US230039502002,775,155,212,54.3,34097.0,0.605072463768116,0.0,0.0,34097.0,0.47244094364188727,0.015503875908899706,0.4121405744215007,0.11871508363307949
13,15000US230039502004,1070,198,214,45.2,33947.0,0.582089552238806,0.07277628012728765,0.02156334225993708,33947.0,0.42732558015312333,0.05604719747478703,0.38261850972616424,0.28691588758232156
14,15000US230039502003,899,135,168,51.9,21071.0,0.8235294117647058,0.07456140334526008,0.0,21071.0,0.5497630318725995,0.06886227524292732,0.4222503155218074,0.28698553916909286
15,15000US230039510003,844,227,134,43.3,33313.0,0.7008928571428571,0.15802469096784028,0.009876543185490017,33313.0,0.434017594035139,0.028436018889962042,0.6656151409059698,0.11350059723596105
16,15000US230039510004,898,175,200,41.0,30938.0,0.6942446043165468,0.05839416044186336,0.026763990202520706,30938.0,0.41860465008112496,0.06009615370169194,0.5683060101525874,0.19596864479734755
17,15000US230039507004,0,0,0,,,,0.9999999969512195,0.9999999969512195,,0.0,0.0,0.0,0.0
18,15000US230039510002,1208,279,215,40.7,40598.0,0.6085011185682326,0.14808362343539438,0.0627177699255788,40598.0,0.35787320990209975,0.09491525407641482,0.613943807893919,0.13990066213584382
19,15000US230039507005,172,14,75,62.6,24375.0,0.620253164556962,0.6592592568175583,0.5925925903978052,24375.0,0.5760869502599245,0.20967741597294492,0.3899371044658044,0.1686046501825311
20,15000US230039501004,595,95,203,55.3,53750.0,0.47417840375586856,0.7541789569772085,0.669616518515618,53750.0,0.527999997888,0.017793594242727424,0.5553359672819448,0.06386554611115035
21,15000US230039509002,872,167,121,42.5,39453.0,0.6478405315614618,0.2714843744697571,0.12695312475204468,39453.0,0.37265415449690575,0.12284482732145512,0.6356164374854569,0.11854460079983029
22,15000US230039529004,331,50,61,53.8,38250.0,0.7346938775510204,0.5994550392385422,0.4795640313908337,38250.0,0.27891156272849277,0.1575342454963408,0.48344370700846456,0.1540785493834485
23,15000US230039529002,442,68,123,53.3,35536.0,0.4774193548387097,0.734397676728015,0.6821480396485514,35536.0,0.4480874292454239,0.1375661368382744,0.49218749871826173,0.14253393632910874
24,15000US230039529003,427,72,88,47.1,36979.0,0.7142857142857143,0.5447761180478206,0.35074626778421325,36979.0,0.5573770461345516,0.06936416144876208,0.46630727637113945,0.20140515175314952
25,15000US230039521002,708,166,92,41.0,43558.0,0.6455696202531646,0.14912280658151225,0.008771929798912486,43558.0,0.29553264503253385,0.0458221023023663,0.6696750890439078,0.09604519760445594
26,15000US230039523001,759,190,145,44.1,30481.0,0.6294642857142857,0.21467391246012524,0.08967391279979915,30481.0,0.4844290640677195,0.07806691420792969,0.4551607437306925,0.1304347824368448
27,15000US230039512001,778,173,176,40.7,42679.0,0.5595238095238095,0.059602648809262755,0.059602648809262755,42679.0,0.4471830970169609,0.028915662580926114,0.6587301576845553,0.11345646423026852
28,15000US230039512002,577,123,95,39.1,58375.0,0.43846153846153846,0.024822694947437253,0.0,58375.0,0.24727272637355371,0.09523809495464852,0.7073684195634349,0.10571923725178642
29,15000US230039512003,1497,391,256,44.9,25000.0,0.7244655581947743,0.012987012965930174,0.0,25000.0,0.44901315715622836,0.06163328187729849,0.5784313720334836,0.25918503656701064
30,15000US230039513001,1470,384,188,40.6,45000.0,0.39285714285714285,0.06101694904912382,0.06101694904912382,45000.0,0.3375451257445034,0.055987558233300844,0.5787578752666446,0.1503865072730945
31,15000US230039513004,473,91,70,43.4,34583.0,0.8270042194092827,0.16842105204062788,0.0,34583.0,0.4261603357545977,0.11240310033952287,0.6142857128231293,0.038876889764844734
32,15000US230039513003,575,116,78,41.5,24900.0,0.7533333333333333,0.1704180058829003,0.01929260443957362,24900.0,0.32945736306411877,0.04746835428016344,0.6809421826960553,0.22299651529094683
33,15000US230039513002,748,84,240,55.4,47400.0,0.33488372093023255,0.10662824176764195,0.0,47400.0,0.5290322563579605,0.0,0.48538011624944427,0.03377386191810006
34,15000US230039514001,1077,259,105,39.6,35859.0,0.6865671641791045,0.11666666645061728,0.0,35859.0,0.25157232651661987,0.04227941168698637,0.6453143527339095,0.10027855143892427
35,15000US230039514002,1026,215,157,45.8,44236.0,0.6794871794871795,0.07929515401036309,0.0,44236.0,0.2799043055504682,0.05980066435249059,0.7158145056886867,0.09356725137079214
36,15000US230039529001,1608,366,208,44.3,37794.0,0.5995893223819302,0.23752969092929965,0.10095011864495235,37794.0,0.31931464124717346,0.10288582170277814,0.6212003112851128,0.11786833848409507
37,15000US230039511002,956,212,127,38.3,41818.0,0.5306859205776173,0.12121212094975732,0.058441558315061565,41818.0,0.36699507298769685,0.07368421037119113,0.6283068774757845,0.1569037655262513
38,15000US230039501001,696,202,152,42.1,26583.0,0.5398230088495575,0.2452316069612218,0.10899182531609856,26583.0,0.40072202021399994,0.0855018584182087,0.4864376121402575,0.1558441556192725
39,15000US230039511003,880,162,122,43.9,54722.0,0.4408284023668639,0.06632653044304457,0.033163265221522284,54722.0,0.28415300468810656,0.0498084290233555,0.703504042178566,0.04772727267303719
40,15000US230039501002,713,99,178,53.0,24602.0,0.6336996336996337,0.22802850302130998,0.06413301647474343,24602.0,0.45230769091597633,0.13099041491696353,0.4867807146395323,0.27349228573142736
41,15000US230039527003,788,143,140,49.8,38750.0,0.532871972318339,0.24166666616319446,0.14374999970052083,38750.0,0.4368131856131506,0.13095238056264172,0.4992570572076418,0.12182741101290938
42,15000US230039527001,590,97,85,47.3,40577.0,0.652542372881356,0.3456464370827271,0.30079155593458695,40577.0,0.3991935467774454,0.07491856653120989,0.6182902572200989,0.11016949133869577
43,15000US230039507003,945,127,239,51.9,38125.0,0.4554140127388535,0.5999999993582887,0.5144385021235952,38125.0,0.5294117632903429,0.03324808175639877,0.46882493948582143,0.12389380517268385
44,15000US230039517005,1204,281,219,41.6,35750.0,0.643646408839779,0.09380530956848618,0.019469026514214113,35750.0,0.3496093743171692,0.053712480167910776,0.6741214050328845,0.18932443687295708
45,15000US230039517004,827,175,82,34.9,35000.0,0.6745283018867925,0.09253731315660503,0.0,35000.0,0.34868420937932826,0.09210526291551246,0.573152336993737,0.3308733083261091
46,15000US230039517001,735,102,133,40.8,40000.0,0.5814977973568282,0.06976744165765279,0.0,40000.0,0.3968749987597656,0.03682719536309576,0.5405819287280522,0.08435374138183165
47,15000US230039517003,386,83,88,38.7,35417.0,1.0,0.4767801842824143,0.3312693488195995,35417.0,0.5266272158187739,0.22424242288337926,0.5045871544202227,0.3937823823995275
48,15000US230039517002,1557,353,276,45.0,28594.0,0.7450110864745011,0.13507377964236802,0.04086265602626259,28594.0,0.37926509136579384,0.09662576672296662,0.5042536732372361,0.20846905523878237
49,15000US230039506003,1602,357,328,43.3,41197.0,0.4024896265560166,0.09461235204387339,0.0,41197.0,0.4150943390201824,0.039348710937111654,0.5853852259051745,0.06636597933868171
50,15000US230039506001,1732,346,320,39.6,32716.0,0.4804928131416838,0.20310880807968,0.09740932632392815,32716.0,0.40572171598735796,0.05933250919736402,0.5625869258952803,0.17781796252090537
51,15000US230039506002,776,143,50,51.2,52188.0,0.5518394648829431,0.0966767368680461,0.04531722040689661,52188.0,0.1705685613024463,0.0,0.7732732721122023,0.03608247418030609
52,15000US230039504002,1104,184,284,51.9,43839.0,0.5841836734693877,0.08641975290860134,0.016460905315924063,43839.0,0.4301801792113059,0.04743082994578887,0.5254413286340173,0.07570093450869071
53,15000US230039502001,479,101,131,47.3,34125.0,0.6868131868131868,0.12444444389135803,0.04444444424691358,34125.0,0.4873096421963978,0.04830917851058368,0.49999999879227053,0.10669456044624569
54,15000US230039526001,960,250,126,41.4,41607.0,0.5271565495207667,0.2989690715485174,0.22268041191199917,41607.0,0.31470588142733563,0.1115973739352355,0.5981675384840739,0.1812499998111979
55,15000US230039524004,1162,184,322,48.3,31406.0,0.6054216867469879,0.01914893612947035,0.0,31406.0,0.5292841637108804,0.10465116258788534,0.5149700593662974,0.20038350891621906
56,15000US230039524001,1377,285,259,42.8,41250.0,0.6748466257668712,0.07631160560204832,0.0,41250.0,0.33218588583100533,0.10096818796546585,0.6330998243142733,0.14192139727662198
