OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
1,15000US230259662001,986,166,193,49.7,41528.0,0.4828571428571429,0.2220248663907196,0.14209591449006054,0.014209591449006055,41528.0,0.4132420081889452,0.12727272698347109,0.5326876506868188,0.08072916645643446,0.020833333279079862,0.12239583301459418,0.16479017383337752,0.19406392649757095
2,15000US230190100002,2186,546,244,40.4,75427.0,0.07863501483679525,0.0,0.0,0.0,75427.0,0.21590909063647842,0.09711684362889465,0.7557339445207947,0.0151260504074571,0.08319327724101404,0.14537815113833769,0.05627906974126555,0.12878787862526783
3,15000US230190130003,871,133,242,53.7,47016.0,0.35714285714285715,0.34095238030294783,0.16571428539863944,0.01904761901133787,47016.0,0.5606936399979953,0.05780346804103044,0.45595854863217805,0.04294478514434115,0.05521472375701005,0.11656441682035455,0.07807118245916053,0.12427745628821545
4,15000US230050023001,1096,166,162,36.4,51648.0,0.06086956521739131,0.09746588674957916,0.0,0.0,51648.0,0.1749460039418013,0.06791171465549793,0.621308016222249,0.0,0.049180327779270804,0.13843351523054004,0.2136498514207222,0.14470842301358872
5,15000US230050023002,2532,598,254,36.2,48279.0,0.054307116104868915,0.026678932818142653,0.0,0.011039558407507305,48279.0,0.2306238183075389,0.06957132813101101,0.721236695022181,0.005287009059450899,0.051359516577523016,0.2046827793015991,0.1965065501403309,0.24763705080563603
6,15000US230259662002,857,149,183,53.0,39674.0,0.5389221556886228,0.4253521120769689,0.25211267570124973,0.008450704213449713,39674.0,0.4485294106653691,0.03376623367852926,0.5303030295725853,0.18010752639756042,0.07795698903775003,0.15322580603971558,0.23557692279377773,0.1985294112781142
7,15000US230110108021,571,103,110,47.9,38487.0,0.34418604651162793,0.20161290268383628,0.051075268679905195,0.0,38487.0,0.303030302009999,0.06741573014770863,0.7250509150202629,0.0,0.03915662638808245,0.1445783128175352,0.033274956158887994,0.2760942751646657
8,15000US230110108022,1298,320,356,48.5,35637.0,0.12781954887218044,0.053072625624200245,0.0,0.0,35637.0,0.3230088490811079,0.2569316076581671,0.553169733585716,0.0,0.029850746194401128,0.13432835787480507,0.3120184897442076,0.31563421782354834
9,15000US230110120001,1228,169,216,50.0,56042.0,0.0728051391862955,0.3553719004068809,0.3187721365776008,0.017709563143200043,56042.0,0.33150183089468527,0.015772870637582224,0.5953051637602768,0.0,0.08493589729978222,0.07852564089979865,0.09201954389900688,0.18131868098659581
10,15000US230110106003,853,222,122,35.9,53239.0,0.31020408163265306,0.1818181813714541,0.02948402941158715,0.0,53239.0,0.32132132035639244,0.052742615922483936,0.7238805959345066,0.0,0.10467705990049653,0.17149220451783473,0.04689331764725285,0.1381381377233089
11,15000US230110106004,939,145,191,42.9,42560.0,0.44753086419753085,0.1457564572956523,0.0,0.0,42560.0,0.36933045276602494,0.07262569818877897,0.6495828359361349,0.0,0.1686746984564765,0.11044176684650248,0.11279826451974158,0.2764578827722292
12,15000US230110107001,926,162,106,40.6,51875.0,0.14754098360655737,0.0,0.0,0.0,51875.0,0.2219780214901582,0.09461966587269079,0.683143218399058,0.0,0.10245901618348563,0.11680327844917361,0.03372093019334776,0.06813186798212777
13,15000US230110108023,1051,155,263,52.1,22969.0,0.6831955922865014,0.06890130340986722,0.0,0.0,22969.0,0.5399999989200001,0.3774834428753125,0.49562363184286257,0.0,0.0,0.09219858123333836,0.19885823006768957,0.245999999508
14,15000US230110110005,1055,201,145,42.8,64091.0,0.16332378223495703,0.01999999995,0.01999999995,0.0,64091.0,0.2933673461903894,0.027823240543660817,0.7154566736352966,0.0303030302520151,0.05050505042002517,0.13804713781473546,0.13270142167516452,0.08418367325463348
15,15000US230110140001,2286,441,378,46.0,85089.0,0.20949263502454993,0.0854092525677233,0.04270462628386165,0.06168446018780017,85089.0,0.38910505786108296,0.10504885984930874,0.6419236797480796,0.03548680615515304,0.08371246580189948,0.1701546859234261,0.08522212144822207,0.15564202314443318
16,15000US230110140002,1033,260,137,32.2,38739.0,0.24553571428571427,0.05839416047738292,0.0,0.0,38739.0,0.28875968936286883,0.0,0.773058251489007,0.0,0.32182103560153685,0.26216640461198365,0.05905130681602003,0.15891472837419626
17,15000US230110155002,1639,405,243,44.9,54417.0,0.19112627986348124,0.3775971089633269,0.35411020744886157,0.018066847318819468,54417.0,0.3628447019407189,0.012484394491280406,0.6317034695333569,0.030341340037495144,0.07964601759842475,0.106194690131233,0.14887126287439215,0.19883889666351393
18,15000US230110170001,1459,336,281,44.1,49167.0,0.06430155210643015,0.2864864860993426,0.21486486457450693,0.0,49167.0,0.395833332583649,0.013138686112206298,0.6027633846262838,0.010355029570480725,0.05029585791376352,0.1553254435572109,0.17095204991594715,0.1382575754957243
19,15000US230110180002,1262,223,244,49.9,51563.0,0.1845102505694761,0.291172595136795,0.2621870879286073,0.02766798415327011,51563.0,0.397769515989276,0.06849315058068013,0.6134453775784823,0.05065359468847452,0.06535947701738648,0.12908496710933828,0.2329093797830609,0.0929368028012327
20,15000US230110200001,888,130,270,56.0,44844.0,0.09688581314878893,0.5439814808518733,0.49884259201522846,0.0,44844.0,0.5025380697905125,0.14348785840289657,0.5551470581432021,0.0747422678486024,0.08247422659156127,0.08247422659156127,0.10698198186150677,0.08375634496508542
21,15000US230110205002,770,143,175,52.1,32955.0,0.41509433962264153,0.19480519438353855,0.058441558315061565,0.0,32955.0,0.36021505279512084,0.09852216724501929,0.6424050622746755,0.10928961718773329,0.027322404296933323,0.2377049173833199,0.1533333331288889,0.11021505346716383
22,15000US230110210001,1076,205,147,46.4,52500.0,0.6302816901408451,0.1241830062653965,0.023965141559988797,0.0,52500.0,0.3805970139786144,0.055984555876477694,0.5723756899752754,0.0490797545008594,0.016359918166953133,0.22903885433734386,0.05390334567481101,0.4179104467216158
23,15000US230110220001,910,135,256,54.8,52125.0,0.2442159383033419,0.09368191700722894,0.0,0.0,52125.0,0.42307692205991126,0.058064516004162334,0.5863808315430254,0.08904109568712079,0.0502283103876066,0.059360730458080525,0.09890109879241638,0.0961538459227071
24,15000US230110220002,1779,363,298,45.0,41074.0,0.397196261682243,0.06028833543867846,0.022280471792555084,0.0,41074.0,0.4058577400197242,0.031210986228201017,0.570539418692573,0.02448453605092199,0.04896907210184398,0.1507731956819933,0.10736368740451731,0.20362622007862452
25,15000US230110230012,1686,477,235,34.4,52175.0,0.22943722943722944,0.02980625927003538,0.011922503708014152,0.0,52175.0,0.37327188882753937,0.011764705868512111,0.6687647516374785,0.0,0.01904761902494331,0.10595238082624717,0.1265822784047123,0.16743471556461642
26,15000US230110230013,649,168,70,38.4,28438.0,0.0,0.02476780178090464,0.0,0.0,28438.0,0.3079365069589317,0.18352059856359326,0.5266272178961988,0.0,0.0,0.15137614609460484,0.46379044612667114,0.26666666582010584
27,15000US230110145002,1112,191,303,54.6,60688.0,0.11839323467230443,0.41224018428147785,0.3683602767109004,0.0,60688.0,0.495088407671732,0.04490500855802244,0.608786610241855,0.0632911391260558,0.041591319997122386,0.06509945738680026,0.07194244597846902,0.05500982307463689
